Year,Week_Number,Week_Begin_Date,Qty of Orange Juice Sold (Gallons),Advertisement Spend by Store $,Price per Gallon ($/Gallon),% Discount,Temperature (Farenheit),Petrol Price $ / Gallon,TV Spend by Brand1 $ ('000),TV Spend by Brand2 $ ('000),Christmas Week,Easter Week,New Year Week
2006,1,01-01-2006,3753938,73,4.95,0.29,34.67,233.2,0.11,0.19,0,0,1
2006,2,08-01-2006,3530670,45,5.02,0.37,33.66,226.3,0.15,0.15,0,0,0
2006,3,15-01-2006,3575088,40,5.07,0.38,30.73,228.2,0.19,0.34,0,0,0
2006,4,22-01-2006,3453849,52,5.09,0.41,34.68,231.4,0.15,0.3,0,0,0
2006,5,29-01-2006,3432755,45,5.12,0.39,31.22,228,0.2,0.43,0,0,0
2006,6,05-02-2006,3477089,55,5.15,0.35,23.96,218.9,0.24,0.39,0,0,0
2006,7,12-02-2006,3495436,42,5.18,0.36,19.84,216.7,0.25,0.53,0,0,0
2006,8,19-02-2006,3441342,51,5.17,0.39,25.92,225.9,0.21,0.51,0,0,0
2006,9,26-02-2006,3409081,42,5.17,0.38,32.49,237.9,0.17,0.52,0,0,0
2006,10,05-03-2006,3342894,51,5.17,0.42,40.38,238.5,0.14,0.44,0,0,0
2006,11,12-03-2006,3318522,1,5.18,0.4,32.59,250.1,0.12,0.46,0,0,0
2006,12,19-03-2006,3287168,0,5.18,0.36,32.04,247.1,0.11,0.39,0,0,0
2006,13,26-03-2006,3070238,59,5.18,0.34,45.39,257.6,0.09,0.48,0,0,0
2006,14,02-04-2006,3277939,45,5.2,0.33,45.68,265.4,0.07,0.38,0,0,0
2006,15,09-04-2006,3408545,53,5.23,0.41,60.5,275.5,0.09,0.3,0,1,0
2006,16,16-04-2006,3024399,55,5.23,0.35,55.13,287,0.12,0.39,0,0,0
2006,17,23-04-2006,2934731,65,5.24,0.34,51.32,282.6,0.15,0.31,0,0,0
2006,18,30-04-2006,3036521,46,5.25,0.39,54.56,278.3,0.16,0.25,0,0,0
2006,19,07-05-2006,3078160,40,5.27,0.4,53.2,286.6,0.13,0.37,0,0,0
2006,20,14-05-2006,2951452,44,5.27,0.36,57.11,275.7,0.14,0.29,0,0,0
2006,21,21-05-2006,2857231,54,5.28,0.34,67.23,276,0.15,0.23,0,0,0
2006,22,28-05-2006,2994472,84,5.27,0.39,70.43,281.5,0.17,0.34,0,0,0
2006,23,04-06-2006,2899591,49,5.25,0.34,66.93,283,0.13,0.28,0,0,0
2006,24,11-06-2006,2912457,43,5.28,0.39,69.82,277.6,0.11,0.22,0,0,0
2006,25,18-06-2006,2823625,0,5.29,0.33,69.74,282.1,0.09,0.34,0,0,0
2006,26,25-06-2006,2791134,0,5.31,0.35,71.02,291.3,0.08,0.27,0,0,0
2006,27,02-07-2006,2826516,81,5.29,0.36,71.4,296.9,0.07,0.41,0,0,0
2006,28,09-07-2006,2879820,63,5.31,0.35,75.87,298.5,0.1,0.32,0,0,0
2006,29,16-07-2006,2823409,80,5.34,0.37,75.09,299.2,0.13,0.26,0,0,0
2006,30,23-07-2006,2777428,0,5.36,0.32,77.93,298.6,0.16,0.2,0,0,0
2006,31,30-07-2006,2938254,1,5.33,0.36,77.54,305.4,0.18,0.16,0,0,0
2006,32,06-08-2006,2872237,55,5.35,0.39,72.57,297.2,0.15,0.13,0,0,0
2006,33,13-08-2006,2737032,61,5.34,0.35,70.84,286.1,0.16,0.1,0,0,0
2006,34,20-08-2006,2914664,56,5.37,0.37,70.55,276.3,0.19,0.08,0,0,0
2006,35,27-08-2006,2810038,2,5.39,0.36,65.35,259.8,0.21,0.06,0,0,0
2006,36,03-09-2006,2950981,64,5.4,0.36,63.96,244.8,0.17,0.05,0,0,0
2006,37,10-09-2006,2798563,52,5.41,0.34,63.79,231.9,0.14,0.04,0,0,0
2006,38,17-09-2006,2878535,0,5.41,0.34,55.25,220.7,0.11,0.03,0,0,0
2006,39,24-09-2006,2824450,0,5.4,0.35,55.27,216.9,0.09,0.03,0,0,0
2006,40,01-10-2006,2833963,0,5.39,0.25,59.93,215.3,0.07,0.02,0,0,0
2006,41,08-10-2006,2964043,51,5.45,0.33,43.94,212.9,0.06,0.02,0,0,0
2006,42,15-10-2006,2897689,57,5.49,0.29,44.66,214.7,0.16,0.01,0,0,0
2006,43,22-10-2006,2831294,53,5.49,0.29,40.91,219.6,0.22,0.01,0,0,0
2006,44,29-10-2006,2927153,0,5.51,0.34,38.01,218.7,0.27,0.01,0,0,0
2006,45,05-11-2006,3000906,46,5.54,0.32,44.71,221.8,0.26,0.01,0,0,0
2006,46,12-11-2006,3107874,41,5.58,0.37,36.61,220.9,0.22,0.01,0,0,0
2006,47,19-11-2006,3191203,45,5.59,0.38,40.41,220.6,0.28,0,0,0,0
2006,48,26-11-2006,2979263,1,5.58,0.34,31.26,226.1,0.31,0,0,0,0
2006,49,03-12-2006,3150394,67,5.58,0.32,24.78,222.4,0.35,0,0,0,0
2006,50,10-12-2006,3090971,48,5.59,0.34,39.74,227.1,0.28,0,0,0,0
2006,51,17-12-2006,3466188,48,5.62,0.36,34.25,227.3,0.23,0,1,0,0
2006,52,24-12-2006,3286787,75,5.63,0.36,35.05,226.3,0.19,0,0,0,0
2007,1,31-12-2006,3272057,4,5.65,0.28,35.16,221,0.22,0,0,0,1
2007,2,07-01-2007,3244524,60,5.72,0.27,24.5,207.7,0.23,0,0,0,0
2007,3,14-01-2007,3279777,53,5.78,0.3,17.48,199.2,0.26,0,0,0,0
2007,4,21-01-2007,2996563,53,5.84,0.28,20.79,208.1,0.28,0,0,0,0
2007,5,28-01-2007,3104945,0,5.9,0.29,8.19,214.3,0.22,0,0,0,0
2007,6,04-02-2007,3160336,49,5.94,0.32,5.34,222.4,0.18,0,0,0,0
2007,7,11-02-2007,3025496,48,5.99,0.33,11.98,228.5,0.21,0,0,0,0
2007,8,18-02-2007,3052155,53,6.01,0.3,28.63,237,0.25,0,0,0,0
2007,9,25-02-2007,2992087,0,6.05,0.31,26.71,246.5,0.24,0,0,0,0
2007,10,04-03-2007,2938277,51,6.07,0.31,27.07,248.7,0.2,0,0,0,0
2007,11,11-03-2007,2803254,57,6.1,0.33,37,248.5,0.16,0,0,0,0
2007,12,18-03-2007,2715054,1,6.11,0.29,44.68,251.8,0.13,0,0,0,0
2007,13,25-03-2007,2681864,60,6.12,0.37,50.25,261.4,0.1,0,0,0,0
2007,14,01-04-2007,2988035,62,6.15,0.38,31.16,274.4,0.08,0,0,1,0
2007,15,08-04-2007,2746663,0,6.14,0.32,35.98,280.7,0.1,0,0,0,0
2007,16,15-04-2007,2661963,52,6.15,0.29,52.39,277.5,0.14,0.18,0,0,0
2007,17,22-04-2007,2640632,46,6.16,0.3,54.49,292.5,0.17,0.35,0,0,0
2007,18,29-04-2007,2576414,2,6.16,0.27,57.58,307.4,0.13,0.49,0,0,0
2007,19,06-05-2007,2640853,51,6.17,0.26,62.19,317.2,0.11,0.51,0,0,0
2007,20,13-05-2007,2510635,51,6.17,0.23,58.46,332.6,0.14,0.43,0,0,0
2007,21,20-05-2007,2514391,3,6.19,0.25,62.58,332,0.16,0.59,0,0,0
2007,22,27-05-2007,2498800,61,6.21,0.24,66.31,322.5,0.18,0.65,0,0,0
2007,23,03-06-2007,2519140,60,6.21,0.24,64.41,307.3,0.15,0.7,0,0,0
2007,24,10-06-2007,2482801,1,6.24,0.24,72.49,298.4,0.12,0.7,0,0,0
2007,25,17-06-2007,2532877,68,6.25,0.26,68.96,296.7,0.09,0.61,0,0,0
2007,26,24-06-2007,2418359,66,6.27,0.26,69.36,295.4,0.08,0.55,0,0,0
2007,27,01-07-2007,2444946,0,6.26,0.31,72.47,304.5,0.06,0.57,0,0,0
2007,28,08-07-2007,2462473,59,6.27,0.3,68.78,317.2,0.05,0.55,0,0,0
2007,29,15-07-2007,2453595,70,6.27,0.32,69.33,298.4,0.1,0.44,0,0,0
2007,30,22-07-2007,2428990,0,6.28,0.33,73.05,284.8,0.15,0.35,0,0,0
2007,31,29-07-2007,2467516,66,6.29,0.27,73.37,282.8,0.18,0.47,0,0,0
2007,32,05-08-2007,2543129,66,6.3,0.34,74.49,276.9,0.14,0.49,0,0,0
2007,33,12-08-2007,2477617,1,6.29,0.3,67.61,287.1,0.11,0.39,0,0,0
2007,34,19-08-2007,2522713,59,6.27,0.27,68.12,284,0.14,0.31,0,0,0
2007,35,26-08-2007,2531234,62,6.28,0.27,67.45,297.3,0.17,0.37,0,0,0
2007,36,02-09-2007,2638464,0,6.28,0.31,69,297.9,0.19,0.44,0,0,0
2007,37,09-09-2007,2604947,49,6.27,0.31,54.03,285.9,0.16,0.39,0,0,0
2007,38,16-09-2007,2613739,52,6.27,0.29,64.63,286.1,0.15,0.31,0,0,0
2007,39,23-09-2007,2642738,0,6.26,0.35,61.65,278.2,0.14,0.25,0,0,0
2007,40,30-09-2007,2621244,0,6.26,0.3,64.58,275.5,0.11,0.2,0,0,0
2007,41,07-10-2007,2629219,0,6.25,0.27,50.57,273.5,0.09,0.16,0,0,0
2007,42,14-10-2007,2547349,0,6.26,0.29,54.7,278.8,0.14,0.13,0,0,0
2007,43,21-10-2007,2565244,0,6.25,0.27,46.84,286.4,0.17,0.1,0,0,0
2007,44,28-10-2007,2549652,0,6.25,0.25,44.78,303.7,0.19,0.08,0,0,0
2007,45,04-11-2007,2729911,31,6.23,0.28,38.1,312.7,0.18,0.06,0,0,0
2007,46,11-11-2007,2718973,40,6.22,0.31,39.79,307,0.14,0.05,0,0,0
2007,47,18-11-2007,2900357,0,6.2,0.32,33.43,305.9,0.18,0.04,0,0,0
2007,48,25-11-2007,2857422,29,6.2,0.31,24.63,299.5,0.22,0.03,0,0,0
2007,49,02-12-2007,2981245,49,6.2,0.26,18.11,289.5,0.24,0.03,0,0,0
2007,50,09-12-2007,3027823,42,6.21,0.27,20.23,294.3,0.19,0.13,0,0,0
2007,51,16-12-2007,3183695,57,6.21,0.31,25.39,291.8,0.17,0.16,1,0,0
2007,52,23-12-2007,3081897, 6.50 ,6.18,0.33,24.41,303.2,0.15,0.13,0,0,0
2008,1,30-12-2007,3219143,0,6.18,0.24,24.13,310.1,0.2,0.11,0,0,1
2008,2,06-01-2008,3039436,0,6.22,0.21,33.52,301,0.21,0.13,0,0,0
2008,3,13-01-2008,2900948,0,6.26,0.28,15.09,295.8,0.2,0.14,0,0,0
2008,4,20-01-2008,2901319,0,6.28,0.36,14.01,292.2,0.19,0.14,0,0,0
2008,5,27-01-2008,3022567,0,6.3,0.34,22.61,296.2,0.2,0.14,0,0,0
2008,6,03-02-2008,2951769,0,6.3,0.32,24.56,294.2,0.21,0.18,0,0,0
2008,7,10-02-2008,2941274,0,6.32,0.36,18.4,304.6,0.18,0.21,0,0,0
